title,text,category
"TERM OF CONTRACT, TERMINATION OF EMPLOYMENT AND SEVERANCE PAY","8. 
TERM OF CONTRACT, TERMINATION OF EMPLOYMENT AND SEVERANCE PAY 
 
8.1 This Employment Agreement shall continue until terminated by either Party as provided herein 
and supersedes any and all prior oral or written agreements pertaining to the duration, 
compensation and conditions of employment of the Employee. 
8.2 The Employee may lawfully terminate this Employment Agreement by giving to the Employer not 
less than notice in writing and the employee shall not be entitled to get the salary of the notice 
period and on break of bond of two years the employee is liable to pay penalty equal to Rs. 2 
lakhs. Employer can terminate the employee any time with immediate effect without giving any 
Notice Period.  
8.3  In case if the employee leaves the company or terminates his/her employment before 
completion of two years, then he/she is liable to pay penalty equal to Rs. 2 lakhs. Since the 
Employer’s company is a software developing company as well as a reputed Training Academy 
that enjoys tremendous goodwill in the market. Since, a lot of time, energy and effort is devoted 
and invested in grooming young aspiring Employees which is essential in bringing out the best of 
talent in them and nurturing them to make them able, competent and successful professionals. 
8.4 No severance pay, as mentioned above, will be made to the Employee in case the Company has 
terminated the Employee’s employment due to his/her breach of Agreement or if he/she do not 
meet the performance criteria prescribed by the Company. 
8.5  All memoranda, notes, records, or other documents made or composed by the Employee, or 
made available to him/her during the term of this Employment Agreement concerning or in any 
way relating to the business or affairs of the Company, its subsidiaries, divisions, affiliates, or 
clients shall be the Company’s property and shall be delivered to the Company on the 
termination of this Employment Agreement or at any other time at the request of the Company. 
8.6 That if the employee commits any offence punishable under the Indian Law even outside the 
company or with the customer outside the course of employment, the company shall not be 
responsible for it in any circumstances. 
8.7 That during the course of employment, if the employee commits any fraud with the company and 
as a result of which the company suffers huge loss, in case of such an event, the Employer shall 
be entitled to recover the same from the employee’s movable and immovable property by 
instituting legal / court proceedings. 
8.8  If any training is provided to the employee, the company has full rights to recover the expenses 
incurred to train that employee if he/she resigns before completion of 6 months of the training 
tenure.  
8.9 Notwithstanding the above, Employment Agreement can be terminated on the following grounds: 
 
8.9.1 Employee being found guilty of any dishonesty, misconduct, willful neglect of duty 
or other conduct amounting to gross misconduct with fellow colleagues or seniors; 
8.9.2 Employee committing a material breach of the terms and conditions of this 
Employment Agreement; 
8.9.3 Employee being found to be medically unfit or, 
8.9.4 Employee being declared a bankrupt or insolvent or, 
8.9.5 Employee being convicted of any offence involving moral turpitude or defined 
under the Indian Law, 
8.9.6 Misappropriation of the Company’s monies or property by the Employee or; 
8.9.7 Misconduct or insubordination on the part of the Employee, 
 
8.9.8 Infringement of any Company rules and regulations by the Employee. 
The Employee shall be liable to be dismissed or discharged forthwith notwithstanding the rights 
and without giving any notice, which the Company may otherwise have against the Employee in 
case of any loss (grave or remote) caused by the employee during the course of his/her 
employment and the losses will be borne by him/her by way of damages which shall be 
calculated by the management of the company.",Termination
OTHER TERMS OF EMPLOYMENT,"9. 
OTHER TERMS OF EMPLOYMENT 
 
Company has prepared Guidelines for Employees in which Rules and Regulation for an 
employee are defined. These Guidelines will be defining the policies of the company. These 
guidelines will be available to the employees on mail. Guidelines are subject to change as and 
when required. And it will be part & parcel of this Agreement and it will be binding on the 
employees.",Employment
JURISDICTION,"11. 
JURISDICTION 
11.1 This Employment Agreement shall be governed by and construed in accordance with the laws 
of Jaipur (India). 
11.2 In cases if any dispute arises that is of administrative trivial nature, then the same shall be 
referred to the board, thus the decision of the board will be final and binding on the parties. 
 
IN WITNESS WHEREOF the Parties hereto have hereunto set and subscribed their respective hands 
the day and year first hereinabove written. 
 
 
In the Presence of :",Governing Law
Term of Employment.,"4. 
Term of Employment. 
(a) 
Term.  This Agreement shall expire on the first anniversary of the 
Effective Date, unless otherwise extended by the mutual agreement of Executive and the 
Company; provided, that this Agreement shall automatically be renewed for additional 
one (1) year terms and shall automatically be continued effective as of the subsequent 
anniversary date of the Agreement (a “Renewal Date”) unless the Company or Executive 
has delivered written notice of non-renewal to the other party at least sixty (60) days prior 
to the relevant Renewal Date. 
(b) 
Basic Rule.  The Executive’s Employment with the Company shall be “at 
will,” meaning that either the Executive or the Company shall be entitled to terminate the 
Executive’s Employment at any time and for any reason, with or without Cause (in the 
case of the Company) or Constructive Termination (in the case of Executive).  Any 
contrary representations that may have been made to the Executive shall be superseded 
by this Agreement.  This Agreement shall constitute the full and complete agreement 
between the Executive and the Company on the “at will” nature of the Executive’s 
Employment, which may be changed only in an express written agreement signed by the 
Executive and a duly authorized officer of the Company. 
(c) 
Termination.  The Company or the Executive may terminate the 
Executive’s Employment at any time and for any reason (or no reason), and with or 
without Cause (in the case of the Company) or Constructive Termination (in the case of 
Executive), by giving the other party notice in writing.  The Executive’s Employment 
shall terminate automatically in the event of his death. 
(d) 
Rights Upon Termination.  Except as expressly provided in Section 5, 
upon the termination of the Executive’s Employment pursuant to this Section 4, the 
Executive shall be entitled only to the compensation, benefits and reimbursements 
described in Sections 2 and 3 for the period preceding the effective date of the 
termination.",Termination
"Invention,","6. 
Invention, 
Confidential 
Information 
and 
Non-Competition 
Agreement.  The Executive has entered into an Invention, Confidential 
Information and Non-Competition Agreement with the Company, in the form 
attached hereto as Exhibit A, which is incorporated herein by reference.",Intellectual Property
Successors.,"7. 
Successors. 
(a) 
Company’s Successors.  This Agreement shall be binding upon 
any successor (whether direct or indirect and whether by purchase, lease, merger, 
consolidation, liquidation or otherwise) to all or substantially all of the Company’s 
business and/or assets.  For all purposes under this Agreement, the term 
5 
“Company” shall include any successor to the Company’s business and/or assets 
which becomes bound by this Agreement. 
(b) 
Executive’s Successors.  This Agreement and all rights of the Executive 
hereunder shall inure to the benefit of, and be enforceable by, the Executive’s personal or 
legal representatives, executors, administrators, successors, heirs, distributees, devisees 
and legatees.",Miscellaneous
"The term ""CONFIDENTIAL INFORMATION"" shall include any confidential /","2. 
The term ""CONFIDENTIAL INFORMATION"" shall include any confidential / 
proprietary / non-public information relating to the business of the respective parties, including 
but not limited to samples, formulae, manufacturing/development processes, specifications, 
drawings and schematics, however, the ""Confidential Information"" shall mean and include the 
technical and technological information and secrets relating to software, computer system, 
equipment, local area network and wide area network, network infrastructure and equipment, 
network designs/architecture, system passwords, login-ID's and commercial , marketing, 
financial and other information, data, ideas, programs, operations, processes and documents 
relating to the business or technology of (the ""BRPL"") or any of its affiliates which is disclosed 
either prior to or after the date of this Agreement by parties i) to each other ii) either of its 
affiliates or iii) a third party on or behalf of the BRPL or any of its affiliates, to the other party 
(the ""Vendor"") either in oral or written form, or through any other form of communication, and 
which was designated to be confidential and proprietary and shall include this Agreement as well 
as the intention of parties to explore the entering into of a business relationship with each other.",Confidentiality
EXCLUSIONS TO THE CONFIDENTIALITY AGREEMENT:,"4. 
EXCLUSIONS TO THE CONFIDENTIALITY AGREEMENT: 
Notwithstanding anything contained herein, the obligation as to confidentiality herein shall not 
apply to the following, provided the VENDOR can establish the same with a competent proof, 
that: 
a) 
the CONFIDENTIAL INFORMATION was already in the knowledge of the VENDOR, 
before its disclosure by the BRPL; 
b) 
the CONFIDENTIAL INFORMATION, at the time of its disclosure by the BRPL to the 
VENDOR, was in public domain; 
c) 
the CONFIDENTIAL INFORMATION became a part of public domain, after its 
disclosure by the BRPL to the VENDOR, either by publication or otherwise, except through the 
breach of this Agreement. 
d) 
the CONFIDENTIAL INFORMATION was received by the VENDOR from a third party 
who was in possession of the same without violation of the obligation as to confidentiality; 
e) 
the CONFIDENTIAL INFORMATION was independently developed by the VENDOR, 
without the breach of this Agreement; 
f) 
the CONFIDENTIAL INFORMATION was required to be disclosed under the law; 
The Information shall not be deemed to be in the public domain merely by the reason that it is 
known to a few members of the public to whom it might be of commercial interest.  Further, a 
combination of two or more parts of the information shall not be deemed to be in the public 
domain merely by the reason of each separate part thereof being so available in public domain.",Confidentiality
RETURN OF CONFIDENTIAL INFORMATION,"6. 
RETURN OF CONFIDENTIAL INFORMATION 
Immediately upon the decision by the VENDOR to not to continue with any any arrangement/ 
agreement or immediately upon the request of the BRPL, the VENDOR shall promptly return 
and/or procure the return of the CONFIDENTIAL INFORMATION, and all copies (whether or 
not lawfully made or obtained) of the same or any part of thereof, as well as all analysis, 
computations, studies or other documents or information prepared, which is based upon, contains 
or refers to or to any part of, the CONFIDENTIAL INFORMATION, to the BRPL or to any 
party designated by the BRPL in this behalf, or destroy the same as may be advised by the 
BRPL, and shall confirm by way of a written certificate to that effect to the BRPL, and also 
further confirm that the VENDOR has not reproduced or retained any samples, originals or 
copies of any part of the CONFIDENTIAL INFORMATION; except that the VENDOR could 
keep a single copy of the CONFIDENTIAL INFORMATION solely for the purposes of 
determining compliance with obligations as to confidentiality hereunder.",Confidentiality
TENURE OF THE AGREEMENT,"7. 
TENURE OF THE AGREEMENT 
The Agreement shall be valid for a period of __________ years from the date thereof, or till 
parties enter into definitive Agreement of business relationship arising out of the or any earlier 
determination of this Agreement effected by the BRPL by requisitioning the return of the 
CONFIDENTIAL INFORMATION, whichever is earlier.  The Vendor shall continue to be 
liable for any breach of Personal/ Sensitive/ Confidential data given by the BRPL even after the 
termination of main agreement.",Termination
INJUNCTIVE RELIEF AND SPECIFIC PERFORMANCE,"10. 
INJUNCTIVE RELIEF AND SPECIFIC PERFORMANCE 
The VENDOR understands and acknowledges that, due to the unique nature of the 
CONFIDENTIAL INFORMATION of the BRPL, any unauthorised disclosure of any portion 
thereof shall cause irreparable damage / injury to the interest of the BRPL and that monetary 
relief will not be adequate or complete remedy to compensate for such damage/injury. 
Accordingly, the VENDOR hereby acknowledges that the BRPL shall be entitled to injunctive 
relief and / or a remedy of specific performance in the event of any unauthorised disclosure by 
the VENDOR or by any of its said employees or the said associates, in addition to whatever 
remedies it might have in law or in equity.",Indemnity
ENTIRE AGREEMENT,"11. 
ENTIRE AGREEMENT 
This Agreement represents the intentions of the parties hereto, in entirety, on the subject matter 
hereof, and shall supersede anything outside this Agreement relating to the subject matter hereof.",Miscellaneous
SEVERABILITY,"12. 
SEVERABILITY 
If any part of this Agreement becomes or is discovered to be unlawful and / or unenforceable, 
and if the remaining Agreement could be separated from such part, then the remaining 
Agreement shall be deemed to continue in such reduced form. 
Non-assignment - Save as expressly agreed by the parties hereto in writing, no right or obligation 
under this Agreement can be assigned to any other party. 
 
Waiver - No waiver or modification of this Agreement will be binding upon the parties unless 
made in writing and signed by a duly authorised representative of such parties.  Further, failure 
or delay in enforcing any right under this Agreement shall not amount to a waiver of such right. 
 
Modifications - This Agreement may not be modified except in writing, signed by the parties 
hereto, through their duly authorised representatives. 
 
Jurisdiction & Arbitration - This Agreement shall be governed by and construed in accordance 
with the Laws of India   (without reference to the rules relating to the conflict of laws), under the 
jurisdiction of the Courts at Delhi. 
Any dispute or difference with respect to the construction or interpretation of any of the clauses 
hereof, or as to the meaning or effect thereof, which could not be resolved amicably between the 
parties hereto, shall be referred to arbitration.  The arbitration shall be governed by the 
Arbitration and Conciliation Act, 1996, as amended or re-enacted.  Each party hereto shall 
appoint one arbitrator.  Both these arbitrators shall jointly appoint a third arbitrator.  The Venue 
of arbitration shall be Delhi.   The fees of the arbitrators shall be shared equally. 
 
Related Party Acts - 
a. 
Any act or omission which if it were an act or omission of the VENDOR would be a 
breach of this Agreement on its part, be deemed to be such an act or omission for which the 
VENDOR is responsible when done or omitted to be done by a third party, if - 
i) 
such third party is controlled by or controls, the VENDOR, or 
ii) 
both, such third party and the VENDOR, are under the common control of any other 
party 
 
Two originals 
This Agreement shall be executed in three copies, each of which shall constitute an original, and 
both of which together shall constitute one and the same instrument. 
IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly 
authorised representatives, as on the date hereof. 
 
For ___________________________________ 
 
 
 
______________________________________ 
(name & title) 
 
Witnesses:",Miscellaneous
Purpose of Disclosure.,"1. 
Purpose of Disclosure. 
 
The purpose of this Agreement is to permit the parties to evaluate whether to enter into a business relationship and 
related projects (the “Purpose”).  In connection with such discussions, Sanmina may disclose Confidential Informa-
tion (defined below) to Recipient.",Confidentiality
Confidential Information Defined.,"2. 
Confidential Information Defined. 
 
“Confidential Information” shall mean and include (i) samples and prototypes, (ii) all information disclosed 
in any form or medium (e.g., written, verbal, electronic, visual) which (a) has been identified by Sanmina as 
“Confidential,”  “Proprietary” or other appropriate legend indicating the confidential nature of the information or (b) 
would reasonably be understood to be confidential. Confidential Information includes, but is not limited to, 
information regarding pricing, customers and prospective customers, vendors and vendor lists, costed bills of materials, 
processes (including but not limited to manufacturing processes), know-how, designs (including but not limited to 
designs of enclosures and printed circuit boards), formulae, computer programs, databases, methods of operation, sales 
techniques, business methods or plans, marketing plans and strategies, finances, management, plant and equipment, and 
any other business information relating to Sanmina, whether constituting a trade secret, proprietary information or 
otherwise, which has value to Sanmina and is treated by Sanmina as being confidential.",Confidentiality
Information That Is Not Confidential.,"3. 
Information That Is Not Confidential. 
 
Information in the following categories shall not be considered Confidential Information under this 
Agreement: (a) information which is in the public domain at the time of the receipt under this Agreement; (b) 
information which comes into the public domain after receipt under this Agreement without a breach of this 
Agreement by the Recipient; (c) information which the Recipient can show was in the Recipient’s possession before 
the date of disclosure under this Agreement; (d) information that the Recipient can show was acquired by the 
Recipient from a third party who was not known by the Recipient to be under an obligation of confidence to 
Sanmina; and (e) information which the Recipient can show was independently developed by the Recipient without 
reference to Sanmina’s Confidential Information.",Confidentiality
Disclosure Period and Termination.,"4. 
Disclosure Period and Termination. 
 
This Agreement controls Confidential Information which is disclosed from the Effective Date until terminated.  
Recipient’s duty of non-disclosure under this Agreement shall extend beyond the term of this Agreement for a period 
of three (3) years from the date of last disclosure. This Agreement may be terminated by either party upon thirty (30) 
days written notice to the other party.  The parties agree that Confidential Information constituting a trade secret shall 
remain subject to the confidentiality obligations of this Agreement for so long as such Confidential Information qualifies 
as a trade secret under applicable law.",Confidentiality
Duty to Protect.,"5. 
Duty to Protect.     
 
Recipient shall protect the disclosed Confidential Information by using the same degree of care, but no less 
than a reasonable degree of care, to prevent the unauthorized use, dissemination or publication of the Confidential 
Information as the Recipient uses to protect its own Confidential Information of a similar nature.  Recipient shall (i) 
 
 
 
 
2 
NDA Rev. 3-14-14 
Form NDA-3 (Supplier) 
limit access to all Confidential Information to its employees who shall reasonably require access to the Confidential 
Information for the purpose set forth above, (ii) shall insure that all such employees have signed a nondisclosure 
agreement in content substantially similar to this Agreement, (iii) shall use the Confidential Information solely in 
connection with the Purpose, and (iv) shall use due diligence to insure that all such persons comply with the 
provisions of this Agreement.  Recipient shall be liable for any breach of this Agreement by its employees or 
representatives.",Confidentiality
Court Orders.,"6. 
Court Orders. 
 
Nothing contained in this Agreement shall restrict Recipient from disclosing Confidential Information that 
is required to be disclosed under any subpoena or court order provided that the Recipient provides Sanmina with 
prompt notice so that Sanmina may, at its expense, seek a protective order or take other appropriate measures.",Confidentiality
Return of Confidential Information.,"8. 
Return of Confidential Information. 
 
Within ten (10) days after any written request by Sanmina, the Recipient shall promptly return all copies of 
the Confidential Information except copies required for backup, disaster recovery, or business continuity and in such 
case the obligations hereunder shall survive until such copies are destroyed.",Confidentiality
Governing Law.,"9. 
Governing Law. 
 
This Agreement shall be governed by and construed in accordance with the laws of the State of California, 
without regard to its conflicts of law principles. The parties agree that the state courts of Santa Clara County, 
California and the federal courts located in the Northern District of the State of California shall have exclusive 
jurisdiction and venue to adjudicate any and all disputes arising out of or in connection with this Agreement. The 
parties consent to the exercise by such courts of personal jurisdiction over them and each party waives any objection 
it might otherwise have to venue, personal jurisdiction, inconvenience of forum, and any similar or related doctrine.",Governing Law
