contract_name,clause_number,title,text,cluster
20209161759968.pdf,12,The Recipient shall take reasonable steps to maintain the security,"12.	
The Recipient shall take reasonable steps to maintain the security 
and confidentiality of the Confidential Information and take 
reasonable steps to cause its conduct to comply with the Agreement, 
as fully as if such persons had executed this Agreement and made 
the same Agreement as to themselves with respect to the Confidential 
Information as is made herein by the Recipient.",7
20209161759968.pdf,13,The Recipient acknowledges that such Confidential Information,"13.	
The Recipient acknowledges that such Confidential Information 
provided by ECI/ CEO shall remain the property of ECI/ CEO and 
NON DISCLOSURE AGREEMENT
Cyber Security Regulations of the ECI
86 \ 92
that the disclosure and/or provision of Confidential Information by 
ECI/ CEO is solely for the purposes as stipulated by ECI/ CEO and 
shall not be used directly or indirectly to gain a competitive advantage 
over or negatively affect ECI/ CEO.",2
20209161759968.pdf,14,"The Recipient acknowledges and agrees that it shall not make, have","14.	
The Recipient acknowledges and agrees that it shall not make, have 
made, replicate, reproduce, use, sell, incorporate or otherwise exploit, 
for his own or any other purpose, any of the Confidential Information 
provided by ECI/ CEO  that is or may be revealed to him by ECI/ CEO 
unless specifically authorized to do so in writing by ECI/ CEO .",2
20209161759968.pdf,15,The Recipient acknowledges that any and all the Confidential,"15.	
The Recipient acknowledges that any and all the Confidential 
Information that may be disclosed by ECI/ CEO under this Agreement 
is the valuable property of ECI/ CEO and is highly proprietary and 
confidential in nature. The Recipient further acknowledges that 
the disclosure, distribution, dissemination and/ or release of the 
Confidential Information by the Recipient without the prior written 
consent of ECI/ CEO will cause ECI/ CEO to suffer severe, immediate 
and irreparable damage. The Recipient agrees that in the event the 
Recipient does disclose, disseminate, distribute and/ or release the 
Confidential Information provided by ECI/ CEO which comes into its 
possession or knowledge as a result of this Agreement, without the 
prior, written consent of ECI/ CEO, then ECI/ CEO shall be entitled 
to seek immediate injunctive relief in order to enforce the provisions 
of this Agreement.",2
20209161759968.pdf,16,"The Recipient further agrees to take reasonable steps, no less rigorous","16.	
The Recipient further agrees to take reasonable steps, no less rigorous 
than those taken to protect its own confidential and proprietary 
information to prevent any unauthorized/ inadvertent disclosure 
of the Confidential Information. The Recipient agrees that upon 
termination of this Agreement, the Recipient shall forthwith return 
to ECI/ CEO  and/or provide proof of destruction any and all 
Confidential Information or any other information as mentioned 
under the preceding Clauses of this Agreement and all components 
NON DISCLOSURE AGREEMENT
Cyber Security Regulations of the ECI
87 / 92
which and might form part of Confidential Information and might be 
disclosed.",2
20209161759968.pdf,17,The Recipient shall restrict its discussions or negotiations with any,"17.
The Recipient shall restrict its discussions or negotiations with any
third party during the term of this Agreement except with prior
written permission of ECI/ CEO. However, the said permission of
ECI/ CEO may be subject to:
17.1	
For services – include terms which restrict the deployment of
the same personnel who are working on ECI/ CEO project with 
any other organization without permission of ECI/ CEO during 
engagement with ECI/ CEO. 
17.2	 For products – The configuration, deployment details, etc of 
the products provided by the Recipient to ECI/ CEO shall not 
be discussed by the Recipient with any third party.   
Penalty",2
20209161759968.pdf,18,It is agreed between the Parties that in the event of any breach or,"18.
It is agreed between the Parties that in the event of any breach or
default or offence committed by the Recipient under this Agreement,
ECI/ CEO shall be entitled to take appropriate legal action against the
Recipient, both civil as well as criminal, under the Official Secrets Act,
1923, Indian Penal Code, 1860, Information Technology Act, 2000, or
any applicable laws prevalent in India or any other relevant statutory
enactment or legislation in India. In such an eventuality, ECI/ CEO
further reserve its right to take any other appropriate action, in law
or otherwise, against the Recipient, as it deems fit and necessary. The
Recipient agrees that nothing in this Agreement constitutes a waiver
by ECI/ CEO of the right to prosecute the Recipient for any statutory
violation.
Miscellaneous",2
20209161759968.pdf,19,Interpretation: The interpretation of ECI/ CEO with respect to the,"19.
Interpretation: The interpretation of ECI/ CEO with respect to the
provisions of this Agreement shall be accepted by the Recipient
NON DISCLOSURE AGREEMENT
Cyber Security Regulations of the ECI
88 \ 92
and if dissatisfied with the interpretation, the Recipient can make 
an appeal to the Chief Election Commissioner of India. Any legal 
remedy available to the Recipient under the laws of India shall only 
be resorted to after all in-house mechanism of redressal at ECI/ CEO 
has been exhausted.",2
20209161759968.pdf,20,Supersession: This Agreement constitutes the entire understanding,"20.
Supersession: This Agreement constitutes the entire understanding
between the Parties and supersedes all prior agreements and
understandings pertaining to the subject matter hereof.",7
20209161759968.pdf,21,Amendments: The Agreement may be amended at any time by,"21.
Amendments: The Agreement may be amended at any time by 
mutual agreement of the Parties in writing. No amendment, variation 
or modification of this Agreement shall be valid unless it is made in 
writing and signed by an authorized representative of each Party.
	
Severability: If any provision in this Agreement is held by a court or any 
competent authority to be void or unenforceable, then such provision 
shall be deemed to be severed, but the validity and enforceability of 
the remaining provisions shall not be affected, unless enforcement 
of this Agreement without the invalidated provision shall be grossly 
inequitable under all of the circumstances or shall affect the primary 
purposes of this Agreement.",7
20209161759968.pdf,23,Waiver: The non-exercise of or delay in exercising any power or right,"23.
Waiver: The non-exercise of or delay in exercising any power or right 
by ECI/ CEO shall not operate as a waiver of its power or right. A 
waiver by a Party shall be valid only if such waiver of power or right is 
in writing and is signed by a duly authorized officer of such Party.",7
20209161759968.pdf,24,Relationship between the Parties: Each Party is an independent,"24.
Relationship between the Parties: Each Party is an independent 
contractor and not an agent or a partner of, or joint venture with, the
NON DISCLOSURE AGREEMENT
Cyber Security Regulations of the ECI
89 / 92
other Party for any purpose. Neither Party by virtue of this Agreement 
shall have any right, power of authority to act or create any obligation, 
express or implied, on behalf of the other Party. 
Notices",2
20209161759968.pdf,25,"Every notice, demand or other communication under this Agreement","25.
Every notice, demand or other communication under this Agreement 
shall:
25.1 Be in writing, delivered by hand, or by registered AD post or
Speed post AD or by fax number as notified by parties.
25.2 Be sent to the parties at their principal place of business in 
India or to such other address as either party may in writing 
hereafter notify to the other party.
25.3 Be deemed to have been received:
25.3.1 When delivered by hand; at the time so delivered if during 
business hours on a business day for the recipient;
25.3.2If given by registered AD post or Speed post AD, 48 hours 
after it has been put into post, [To be confirmed]  and
25.3.3If sent by fax or electronic mail (E-mail), at the completion 
of transmission during business hours at its destination 
or, if not within the business hours, at the opening of the 
next period of business hours, but subject to”
25.3.4Proof by the sender that it holds a printed transmission 
report confirming dispatch of the transmitted notice;
25.3.5The sender not receiving any telephone calls from the 
recipient, to be confirmed in writing, that the fax has not 
been received in legible form;",7
20209161759968.pdf,26,"Governing Law and Jurisdiction: This Agreement shall be construed,","26.
Governing Law and Jurisdiction: This Agreement shall be construed,
interpreted, and enforced pursuant to the laws of India and all
NON DISCLOSURE AGREEMENT
Cyber Security Regulations of the ECI
90 \ 92
disputes arising out this Agreement shall be subject to jurisdiction of 
the appropriate Court of Delhi, India.
IN WITNESS WHEREOF, the Parties have hereunto set and subscribed 
their respective hands, the day, month and year first above written.
SIGNED 
AND 
DELIVERED 
for 
and 
on 
behalf 
of 
the 
Election 
Commission 
of 
India 
represented 
by 
Designation:_______________________________
Name:____________________________________
WITNESSES:",7
20209161759968.pdf,1,2.,"1. 
2. 
SIGNED AND DELIVERED by and on behalf of __________________
[Recipient]
Represented by its Authorized Signatory/ by Recipient himself, 
Mr./Ms._____________________________
WITNESSES:",9
20209161759968.pdf,1,2.,"1. 
2.
NON DISCLOSURE AGREEMENT
NOTES
NOTES",5
annex-2-sample-non-disclosure-agreement.pdf,1,"To facilitate discussions, meetings and the conduct of business between the Parties with respect to","1.	
To facilitate discussions, meetings and the conduct of business between the Parties with respect to 
the Matter, it may be necessary for either Party to disclose (“Discloser”) to the other Party (“Recipient”) 
Confidential Information as defined below.
2. 	 The Recipient shall be entitled to disclose the Confidential Information to its employees, contractors and 
advisers and Group Parties, provided that the Recipient will ensure that any such employee, contractor 
or adviser or Group Party has a legal obligation to keep the Confidential Information confidential 
which, in the case of employees, contractors or advisers, shall be both during and after their current 
employment or engagement, on terms no less strict than this Agreement. Any disclosure of such 
Confidential Information by any employee, contractor or adviser or Group Party will be deemed to be a 
breach of this Agreement by the Recipient.",5
annex-2-sample-non-disclosure-agreement.pdf,3,Each Party acknowledges and agrees:,"3.	
Each Party acknowledges and agrees:
	
a.	 All Confidential Information acquired by either Party from the other Party shall be and shall remain 
the exclusive property of the disclosing Party or the member of its group providing it;
	
b.	 To hold all Confidential Information in confidence and to procure that its representatives, advisers 
and associates hold all such Confidential Information in confidence.  
ANNEX 2 SAMPLE NON-DISCLOSURE AGREEMENT  I  ELAN MOBILE MONEY ASSESSMENT AND CONTRACTING GUIDE            2 
	
c.	 To limit access to such Confidential Information to authorised individuals (the “Permitted Personnel”) 
who have a need to know the Confidential Information in order for the Party to participate in  
the Matter.  
	
d.	 To procure that its Permitted Personnel are aware and adhere to the terms of this Agreement; 
	
e.	 To use such Confidential Information only for purposes of work, services or analysis related to the 
Matter and for other purposes only upon such terms as may be agreed upon between the Parties in 
writing; and
	
f.	 To return promptly to the disclosing party, or to destroy any copies of such Confidential Information 
in written, graphic or other tangible form at that Party’s request and any such destruction shall be 
certified in writing to the disclosing Party by an authorised officer of the Recipient;
	
g.	 The obligations of each of the Parties with respect to Confidential Information shall extend for a 
period of three (3) years following the date of disclosure of that Confidential Information; provided, 
however, that confidentiality obligations herein shall survive for a period of three (3) years from the 
date of termination of this Agreement; and
	
h.	 Neither disclosure of Confidential Information, nor this Agreement shall be construed as (i) requiring 
a Party to disclose or accept Confidential Information, (ii) permitting a Party to use or sell the 
Confidential Information or products derived therefrom, or (iii) granting to either Party any rights  
by license or otherwise, express or implied, under any patent, copyright, trademark, trade secret  
or other intellectual property right now or hereafter obtained or licensable by the other Party, or  
(iv) a representation or warranty by either Party as to the accuracy or completeness of the 
Confidential Information (other than as expressly set out in any agreement subsequently entered  
into by the Parties).",5
annex-2-sample-non-disclosure-agreement.pdf,4,These obligations contained in this Agreement do not apply to Confidential Information that:,"4.	
These obligations contained in this Agreement do not apply to Confidential Information that:
	
a.	 As shown by reasonably documented proof, was in the other’s lawful possession without restriction 
on use or disclosure prior to receipt thereof from the disclosing Party; or
	
b.	 As shown by reasonably documented proof, was received by one Party in good faith from a 
third party not subject to a confidential obligation to the other Party and without breach of this 
Agreement; or
	
c.	 Now is or later becomes part of the public domain through no breach of confidential obligation by 
the receiving Party; or
	
d.	 Is disclosed pursuant to a requirement imposed by a governmental agency or is otherwise required 
to be disclosed by operation of law, except that prior to any disclosure pursuant to this subsection, 
the Party receiving the request for the information shall notify the disclosing Party and provide them 
with an opportunity to participate in objecting to production of the Confidential Information; or
	
e.	 Was developed by the receiving Party independently from and without the developing person(s) 
having access to any of the Confidential Information received from the other Party; or
	
f.	 Is authorised in writing by the disclosing Party to be released or is designated in writing by the 
source as no longer being Confidential Information.",5
annex-2-sample-non-disclosure-agreement.pdf,5,The Recipient acknowledges that money damages may not be an adequate remedy for any breach of,"5.	
The Recipient acknowledges that money damages may not be an adequate remedy for any breach of 
this Agreement. The Discloser will be entitled to seek specific performance and injunctive and other 
equitable relief as a remedy for any breach of this Agreement in addition to all monetary remedies 
available at law and in equity.",7
annex-2-sample-non-disclosure-agreement.pdf,6,Neither this Agreement nor provision of Confidential Information pursuant to it shall be construed as,"6.	
Neither this Agreement nor provision of Confidential Information pursuant to it shall be construed as 
an agreement, commitment, promise or representation by either Party to do business with the other or 
to do anything except as set out specifically in this Agreement.
MUTUAL NON-DISCLOSURE AGREEMENT",5
annex-2-sample-non-disclosure-agreement.pdf,7,This Agreement shall be construed in accordance with the laws of England.  The Parties hereby consent,"7.	
This Agreement shall be construed in accordance with the laws of England.  The Parties hereby consent 
to the exclusive jurisdiction of the courts of England and consent that all personal service of process 
be made by certified mail or registered mail directed to the address stated herein and service so made 
shall be deemed to be completed upon actual receipt thereof. The Parties waive any objection to 
jurisdiction and venue of any action instituted against it in England, and agree not to assert any defense 
based on lack of jurisdiction or venue. The Parties waive the right to trial by jury in any action, suit, 
proceeding or counterclaim of any kind arising out of or related to this Agreement.",7
annex-2-sample-non-disclosure-agreement.pdf,8,The Recipient acknowledges that all Intellectual Property Rights in the Confidential Information vest,"8.	
The Recipient acknowledges that all Intellectual Property Rights in the Confidential Information vest 
in the Discloser and the Recipient further acknowledges that it shall have no rights in respect of the 
copyright, trade marks (registered or unregistered) or the other Intellectual Property Rights in the 
Confidential Information by virtue of a disclosure thereof to it.",5
annex-2-sample-non-disclosure-agreement.pdf,9,This Agreement is the entire agreement between the Parties with respect to disclosure of Confidential,"9.	
This Agreement is the entire agreement between the Parties with respect to disclosure of Confidential 
Information pertaining to the Matter and supersedes all prior agreements and understandings with 
respect to this subject.  This Agreement may be amended only by written agreement executed by both 
Parties. This Agreement shall be binding on the agents, successors and permitted assigns of the Parties.
10.	 If for any reason, any provision of this Agreement shall be determined to be invalid, void or 
unenforceable by a court or regulatory body of competent jurisdiction, the remaining provisions of this 
Agreement shall remain in full force and effect and shall in no way be affected, impaired or invalidated 
unless removal of the provision in question results in a material change to this Agreement.  Further, no 
failure or delay by a party hereto in exercising any right, power or privilege hereunder shall operate as 
a waiver thereof, nor shall any single or partial exercise thereof preclude any other or exercise of any 
rights under this Agreement.
11.	 Assignment. Neither Party shall assign this Agreement to a third party without the other Party’s prior 
written consent, which such consent will not be unreasonably withheld, denied, conditioned or delayed; 
provided, however, that each Party may assign the rights and obligations to any Group Party.
12.	 Third parties cannot benefit from this Agreement under The Contracts (Rights of Third Parties) Act 1999.
13.	 Either Party may terminate this Agreement on thirty (30) days written notice to the other Party.  
14.	 Counterparts and Facsimile Delivery. This Agreement may be executed in two or more identical 
counterparts, each of which shall be deemed to be an original and all of which taken together shall be 
deemed to constitute the Agreement when a duly authorised representative of each Party has signed 
a counterpart. The Parties intend to sign and deliver this Agreement by facsimile transmission. Each 
Party agrees that the delivery of the Agreement by facsimile shall have the same force and effect as 
delivery of original signatures and that each Party may use such facsimile signatures as evidence of the 
execution and delivery of the Agreement by all Parties to the same extent that an original signature 
could be used.
15.	 In this Agreement unless the context otherwise requires the following words and expressions shall have 
the following meanings:
	
“Agreement” means this Mutual Non-Disclosure Agreement; 
	
“Confidential Information” means any and all information and know-how that the Discloser and/or 
its Group Parties and/or its agents may from time to time disclose to the Recipient or the Recipient’s 
MUTUAL NON-DISCLOSURE AGREEMENT
ANNEX 2 SAMPLE NON-DISCLOSURE AGREEMENT  I  ELAN MOBILE MONEY ASSESSMENT AND CONTRACTING GUIDE            3 
Group Parties during the course of the Matter or which otherwise becomes known to the Recipient 
either during the course of the Matter or during the course of any previous discussions, negotiations or 
relationship with the Discloser in relation to the Matter, whether orally, in writing, digitally, in the form 
of machine readable code or embodied in hardware or any other physical medium which relates to the 
business, including but not limited to the business plan of the Discloser or their Group Parties, data, 
know-how, designs, illustrations, drawings, photographs, illustrations, notes, memoranda, terms of 
business, financial information, financial projections, financial records, customers and suppliers, sales 
and marketing information, spreadsheets, specifications, technical information and computer software 
of the Discloser and/or its Group Parties; 
	
“Discloser” means the Party which has disclosed Confidential Information to the other Party; 
	
“Group Party” means any Party which is, or is a subsidiary of, the ultimate holding Party of the relevant 
Party from time to time, where “subsidiary” and “holding Party” have the meanings ascribed to them in 
section 1159 of the Companies Act 2006 or such other legislation as may amend, extend, consolidate or 
replace the same from time to time; 
	
“Intellectual Property Rights” means (i) patents, designs, trade marks and trade names (whether 
registered or unregistered), copyright and related rights, moral rights, database rights and know-how; 
(ii) all other intellectual property rights and similar or equivalent rights anywhere in the world which 
currently exist or are recognised in the future; and (iii) applications, extensions and renewals in relation 
to any such rights; 
 	
and
	
“Recipient” means a Party that has received Confidential Information of the other Party. 
MUTUAL NON-DISCLOSURE AGREEMENT
ANNEX 2 SAMPLE NON-DISCLOSURE AGREEMENT  I  ELAN MOBILE MONEY ASSESSMENT AND CONTRACTING GUIDE            4 
	
Signed for an on behalf of NGO:
	
Signature:
	
Name:
	
Title:
	
Date:
	
Signed for an on behalf of the Party:
	
Signature:
	
Name:
	
Title:
	
Date:",7
COE-Sample.pdf,1,Term of Employment,"1. 
 Term of Employment 
The employment of the Employee shall commence from the date hereof and continue for an 
indefinite term until terminated in accordance with the provisions of this agreement.",8
COE-Sample.pdf,2,Probation,"2.  
Probation 
The parties hereto agree that the initial six (6) month period of this agreement is ""Probationary"" 
in the following respects:  
a. 
 the Employer shall have an opportunity to assess the performance, attitude, skills and other 
employment-related attributes and characteristics of the Employee;  
b.  the Employee shall have an opportunity to learn about both the Employer and the position of 
employment;  
c.  either party may terminate the employment relationship at any time during the initial six 
month period with advance notice of seven days with justifiable reason, in which case there 
will be no continuing obligations of the parties to each other, financial or otherwise.",8
COE-Sample.pdf,3,Compensation and Benefits,"3.  
Compensation and Benefits 
In consideration of the services to be provided by him hereunder, the Employee, during the term 
of his employment, shall be paid a basic salary of Nu. _______ a month/ week, less applicable 
statutory deductions. In addition, the Employee is entitled to receive benefits in accordance with 
the Employer's standard benefit package, as amended from time to time.",3
COE-Sample.pdf,4,Duties and Responsibilities,"4.  
Duties and Responsibilities 
The Employee shall be employed in the capacity of __________, the current duties and 
responsibilities of which are set out in Annexure ""A"" annexed hereto and forming part of this 
agreement. These duties and responsibilities may be amended from time to time in the sole 
discretion of the Employer, subject to formal notification of same being provided to the 
Employee.",3
COE-Sample.pdf,5,Termination of Employment,"5.  
Termination of Employment 
Subsequent to completion of the probationary term of employment referred to in paragraph 2 
herein, the Employer may terminate the employment of the Employee at any time:  
a. for just cause at common law, in which case the Employee is not entitled to any advance 
notice of termination or compensation in lieu of notice;  
b. the Employee and employer may terminate their employment at any time by providing     
atleast seven days notice  for probationer and 1 month advance notice for their intention to 
terminate the contract of employment or payment in lieu thereof.  
The entitlements and termination of services will be governed by the Labour and Employment 
Act, 2007 and its regulations and laws of the land.",8
COE-Sample.pdf,6,Confidentiality,"6.  
Confidentiality 
The Employee acknowledges that, in the course of performing and fulfilling his duties 
hereunder, he may have access to and be entrusted with confidential information concerning the 
present and contemplated financial status and activities of the Employer, the disclosure of any of 
which confidential information to competitors of the Employer would be highly detrimental to 
the interests of the Employer. The Employee further acknowledges and agrees that the right to 
maintain the confidentiality of such information constitutes a proprietary right which the 
Employer is entitled to protect. Accordingly, the Employee covenants and agrees with the 
Employer that he will not, during the continuance of this agreement, disclose any of such 
confidential information to any person, firm or corporation, nor shall he use same, except as 
required in the normal course of his engagement hereunder, and thereafter he shall not disclose 
or make use of the same.",5
COE-Sample.pdf,7,Assignment (Transfer of Contract of Employment),"7.  
Assignment (Transfer of Contract of Employment) 
This agreement shall be assigned by the Employer to any successor employer and be binding 
upon the successor employer with the consent of the employee. The Employer shall ensure that 
the successor employer shall continue the provisions of this agreement as if it were the original 
party of the first part. This agreement may not be assigned by the Employee.",3
COE-Sample.pdf,8,Severability,"8.  
Severability 
Each paragraph of this agreement shall be and remain separate from and independent of and 
severable from all and any other paragraphs herein except where otherwise indicated by the 
context of the agreement. The decision or declaration that one or more of the paragraphs are null 
and void shall have no effect on the remaining paragraphs of this agreement.",7
COE-Sample.pdf,9,Working Conditions,"9. 
Working Conditions 
Sr. Rights 
Provisions 
Remarks 
1 
Working 
Hours 
and 
rest periods 
8 hours a day excluding 
meal breaks 
Minimum of 1.5 times at the rate of daily wage (10 PM to 
8 AM in the following morning). One day rest period after 
six days of work. 
 
2 
Public 
holidays 
Minimum ( ) days  
Excluding other leave entitlements (Casual, annual, 
medical etc.)Both the parties may agree to substitute 
public holiday with another public holiday 
3 
Leave 
Casual   (  ) 
Annual Leave ( ) 
Sick Leave    (    ) 
Maternity leave (   ) 
Paternity Leave  (   ) 
The leave provided must at the minimum be provided as 
prescribed by the Regulations on leave 
4 
Provident 
Fund 
 
Contribution of minimum of (____ %) but must be above 
the minimum ceiling and eligibility shall be governed by 
the regulations on Provident Fund 
5 
Gratuity 
 
Eligible after completion of (  ) years of continuous 
employment. Shall be calculated on the last basic salary 
multiplied by number of years of service.",3
